Open time,Open,High,Low,Close,Volume,Close time
1576584000000,132.13,132.28,125.32,127.17,168227.398,1576598399999
1576598400000,127.18,128.44,121.70,122.80,173102.094,1576612799999
1576612800000,122.82,123.28,119.10,121.87,150196.758,1576627199999
1576627200000,121.90,125.73,121.20,123.85,119416.607,1576641599999
1576641600000,123.84,124.40,120.60,121.61,100696.470,1576655999999
1576656000000,121.61,123.90,121.35,121.59,103266.621,1576670399999
1576670400000,121.61,128.73,115.95,127.29,320809.111,1576684799999
1576684800000,127.30,129.50,125.64,128.67,147569.956,1576699199999
1576699200000,128.73,134.75,128.28,132.74,221938.329,1576713599999
1576713600000,132.78,133.79,126.22,128.98,166354.961,1576727999999
1576728000000,128.95,128.95,127.17,127.37,57901.193,1576742399999
1576742400000,127.40,128.46,125.66,125.90,112925.510,1576756799999
1576756800000,125.90,127.86,125.80,127.30,110664.307,1576771199999
1576771200000,127.30,129.28,126.44,127.48,96427.268,1576785599999
1576785600000,127.48,128.36,125.89,128.03,93235.295,1576799999999
1576800000000,128.03,128.50,126.11,126.83,76151.259,1576814399999
1576814400000,126.86,127.33,125.73,127.17,43122.328,1576828799999
1576828800000,127.16,127.45,126.38,127.33,45153.443,1576843199999
1576843200000,127.33,129.33,126.64,127.36,100875.841,1576857599999
1576857600000,127.37,128.44,126.94,127.97,53569.021,1576871999999
1576872000000,127.97,128.54,127.70,128.13,27681.904,1576886399999
1576886400000,128.13,128.52,126.91,127.26,41415.230,1576900799999
1576900800000,127.26,127.75,126.78,127,29759.313,1576915199999
1576915200000,126.99,127.85,126.50,127.34,41470.693,1576929599999
1576929600000,127.34,127.70,126.63,127.29,39221.675,1576943999999
1576944000000,127.30,127.50,126.78,127,24239.180,1576958399999
1576958400000,127,127.56,126.70,126.99,32225.504,1576972799999
1576972800000,126.99,127.45,126.78,127.13,17361.552,1576987199999
1576987200000,127.13,129.35,126.86,129.21,51375.834,1577001599999
1577001600000,129.22,130.75,128.50,129.05,82293.058,1577015999999
1577016000000,129.05,130,128.98,129.54,51609.832,1577030399999
1577030400000,129.58,132.76,129.32,132.03,158605.650,1577044799999
